#This file contains tabulated data of a Bacillus subtilis transformation 
#experiment conducted on October 1st, 2015. As this data is still unpublished
#please ensure that it is not released into the wild. 
#
#An IPTG-inducible hyper-competent strain of Bacillus subtilis was incubated
#with varying concentrations of DNA containing a YFP gene whose expression
#is driven by the endogenous CitB promoter. After 1 hour of incubation, the DNA
#was removed from the sample and the cells were allowed to express the YFP for
#one hour at 37 C. Cells were then spread onto agarose pads containing 100µM IPTG
#and imaged under phase-contrast and fluorescence. Cells that were expressing a
#CFP reporter of competence were segmented computationally and the mean pixel
#intensity of each cell was computed. 
#
#Growth conditions = aerobic (flask growth)
#Data reported = mean pixel values for each segmented cell.
#
0 plasmids/cell,10^1 plasmids/cell,10^2 plasmids/cell,10^3 plasmids/cell,10^4 plasmids/cell,10^5 plasmids/cell
109.0433287482806,105.02115812917594,107.55384615384615,103.50720838794233,134.1145038167939,174.37885985748218
108.11711711711712,103.24193548387096,107.0286783042394,105.23027166882277,147.79175475687103,139.11332503113326
107.83254716981132,104.21262002743484,107.4945652173913,106.76621417797888,166.02424830261882,211.8012718600954
106.61806451612904,102.8537170263789,106.14209115281501,104.1963696369637,109.05825242718447,543.638861629048
107.42367601246106,104.26972010178118,107.13582677165354,105.9249530956848,263.56182472989195,115.43361344537816
110.2481343283582,105.72727272727273,105.49677419354839,103.61037234042553,189.98724239450442,112.82203389830508
108.7269129287599,104.35772357723577,104.9689608636977,103.97802197802197,486.3037037037037,233.67528735632183
108.36175115207374,104.05245346869712,115.31332357247437,104.9210233592881,126.90814196242171,113.56629491945478
108.50627615062761,104.15458015267176,106.01049685094472,105.1875,194.7132530120482,167.26338514680484
107.77181208053692,103.18910256410257,107.17547806524185,107.57755775577557,135.04498714652956,109.91176470588235
109.28940568475453,103.5114503816794,106.51652892561984,105.92554557124518,109.27320490367777,195.792118226601
108.63959955506118,104.69602272727273,107.17362924281984,108.21808510638297,442.953181272509,218.3299086757991
108.4032786885246,105.15527065527066,105.32438238453275,102.50988700564972,381.867816091954,199.2576882290562
107.18604651162791,104.47111111111111,107.06088560885608,104.3083778966132,500.6848816029144,191.53458213256485
107.87301587301587,105.51085141903172,103.03148425787107,104.91574279379158,137.54897218863363,307.6373801916933
108.7800925925926,102.53251318101933,106.16941176470588,104.66666666666667,171.57294429708222,157.3903743315508
107.75,104.85451197053408,107.33669064748202,104.02564102564102,184.06274509803922,168.2360248447205
107.73647058823529,104.3719806763285,104.95668789808917,105.28272980501393,119.94925373134329,170.6172839506173
107.62478777589133,104.23360655737704,106.74005305039788,106.86746987951807,148.64659270998416,162.8706896551724
107.13916500994036,104.42265193370166,108.14877300613497,105.92307692307692,163.6413301662708,206.91733333333335
108.01518987341773,105.11901681759379,106.9866504854369,107.68703241895261,243.57534246575344,152.72480181200453
108.0176600441501,103.63318777292577,107.82266009852216,103.06118881118881,106.19405320813772,158.07885714285715
107.96901893287435,103.68778280542986,106.87837837837837,105.0752508361204,126.92273236282195,659.9175824175824
108.43030303030304,104.04697986577182,105.12825278810409,103.20526315789473,108.0978835978836,141.0910031023785
108.66580976863753,104.76485148514851,107.07454545454546,104.83602771362587,125.76923076923077,288.3466666666667
106.9812030075188,104.77450980392157,104.3897978825794,104.73591549295774,138.85763888888889,169.1056105610561
106.20238095238095,104.06481481481481,105.66501486620416,103.13148148148149,982.4980079681275,180.70893371757924
109.09671848013816,103.89135802469136,103.46091644204851,104.31941031941032,120.85904255319149,176.78559176672385
107.20872274143302,103.90125173852573,107.7983193277311,104.19523269012485,129.24615384615385,304.15102974828375
107.87306501547988,104.92970123022847,107.21240310077519,103.28045325779037,183.39747191011236,384.6756756756757
109.02723146747353,104.503125,107.08837209302325,104.13394495412844,133.64797507788163,104.44336569579288
108.18673883626522,104.13129102844638,106.4273381294964,105.23907766990291,117.1158940397351,314.3034682080925
106.8135593220339,104.51537070524412,106.31553398058253,104.16152450090745,127.6399416909621,162.93347193347194
108.63135593220339,104.01913043478261,104.44183168316832,103.85581395348837,182.88918205804748,140.20872641509433
107.04244031830238,104.08352668213458,106.37936507936507,104.46787479406919,104.41218130311614,136.9152777777778
108.43541666666667,104.55737704918033,105.54029062087186,103.75461741424802,128.21205357142858,131.42503863987636
107.23893805309734,104.23030303030303,106.75400291120815,104.88589211618257,132.25788751714677,191.92510638297873
108.08638743455498,104.33411488862836,106.23923444976077,104.99812734082397,134.671875,115.0636645962733
108.50393700787401,103.84787472035794,106.80920314253648,103.22087378640776,358.128664495114,117.78693790149893
108.75831485587584,105.47841105354058,106.74940898345153,104.51573426573427,106.85,191.9640564826701
107.78401727861771,104.19201995012469,105.26148409893993,103.83266932270917,119.5075034106412,131.28494623655914
108.5954465849387,104.6824644549763,105.39802224969098,103.30413223140496,227.88363636363636,195.8975845410628
